id,title,desc,text,link,img,category
tech2,Techlash continues to batter technology sector,"Declining trust in the tech sector during COVID-19 will impact how governments regulate regulates tech issues, writes Darrell West.","Techlash continues to batter technology sector Declining trust in the tech sector during COVID-19 will impact how governments regulate regulates tech issues, writes Darrell West.",news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmJyb29raW5ncy5lZHUvYmxvZy90ZWNodGFuay8yMDIxLzA0LzAyL3RlY2hsYXNoLWNvbnRpbnVlcy10by1iYXR0ZXItdGVjaG5vbG9neS1zZWN0b3Iv0gFmaHR0cHM6Ly93d3cuYnJvb2tpbmdzLmVkdS9ibG9nL3RlY2h0YW5rLzIwMjEvMDQvMDIvdGVjaGxhc2gtY29udGludWVzLXRvLWJhdHRlci10ZWNobm9sb2d5LXNlY3Rvci9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,https://lh5.googleusercontent.com/proxy/DmpfABm4-V3KtELSQaRB3i4wKRvJW4hK3behx4wjnTxEvC1aafvu5otxeMr6pMmKNajmL6ZzqjeKTBbPR5y1rdMbzt02vST-GWqUESXBYWL5BWxI7pHNNPA4qRabiIDD9g=-p-df-h100-w100,technology
tech3,March Madness Final Four to Feature Revolutionary New Technology in Message Advertising From Ryff,Ryff's Placer Render Technology Helps Fans Re-live Unbelievable 2006 UCLA-Gonzaga game w/Legendary Ad During 2021 Final Four.,March Madness Final Four to Feature Revolutionary New Technology in Message Advertising From Ryff Ryff's Placer Render Technology Helps Fans Re-live Unbelievable 2006 UCLA-Gonzaga game w/Legendary Ad During 2021 Final Four.,news.google.com/./articles/CBMiTmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9tYXJjaC1tYWRuZXNzLWZpbmFsLWZvdXItZmVhdHVyZS0yMzM1MDA3MjcuaHRtbNIBVmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL21hcmNoLW1hZG5lc3MtZmluYWwtZm91ci1mZWF0dXJlLTIzMzUwMDcyNy5odG1s?hl=en-US&gl=US&ceid=US%3Aen,https://lh4.googleusercontent.com/proxy/kPMHRR6h7dz3XCBmqdgSTA2hp3tCq3lxwUZZeMh3HRqWi1y3hI36GvzPghGX9AkFHgWHOWvgEvc2khpSAnh7PmkdSBnCPkmCu9ubS30hTSlneF62zVugMSUKylu6pYjaBGl3GwiC6CcZrgOZlbub6e8glkHK6eG8PvC9dYdSVML0dMZw4q4iCHutoLCH5RP9HWwtDFChHjKIbuAbYFnDCWF5jKbDz-EvdsawHi2D9SJAfkhoFu0FeMdeQwknYvbJvkpZKT2fjH7dmhRFfvPQefoWBQICqQo9ZIh2JWvUkLY8ut5-8GmoLnkcdHuAo6pe4yf4hkTUSj2ITuR8NfJJlczjefHYsTVSeRFIxE51bgfnI0NBH-cVMQianwOln9B35E2SRiYbfB5QMJaFCeqmPiX8RPzWs8oHoK10GKJBM-3fywg=-p-df-h100-w100,technology
tech4,"Senior housing partnership brings technology, safety design to Clearwater memory care facility","A newly built community for people with Alzheimer's and other dementias is preparing to open this month in Clearwater. The memory care facility, the first phase ...","Senior housing partnership brings technology, safety design to Clearwater memory care facility A newly built community for people with Alzheimer's and other dementias is preparing to open this month in Clearwater. The memory care facility, the first phase ...",news.google.com/./articles/CBMieWh0dHBzOi8vc3RwZXRlY2F0YWx5c3QuY29tL3Nlbmlvci1ob3VzaW5nLXBhcnRuZXJzaGlwLWJyaW5ncy10ZWNobm9sb2d5LXNhZmV0eS1kZXNpZ24tdG8tY2xlYXJ3YXRlci1tZW1vcnktY2FyZS1mYWNpbGl0eS_SAX1odHRwczovL3N0cGV0ZWNhdGFseXN0LmNvbS9zZW5pb3ItaG91c2luZy1wYXJ0bmVyc2hpcC1icmluZ3MtdGVjaG5vbG9neS1zYWZldHktZGVzaWduLXRvLWNsZWFyd2F0ZXItbWVtb3J5LWNhcmUtZmFjaWxpdHkvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,https://lh5.googleusercontent.com/proxy/KgHk_WSWm4Mn-qfUyeK7EbqR0mZL3sw_sRsrBIgaecczJV9rTRtKON4MEco9K9iD79TNnSEYmlakSV9kGBGWb-GsB6yDq2udAFZym_ITdAd_GkMmXolJP0NyU4CCA8g1UirzVTyCbmAQl-57eCmCH2ZfTnSIIw=-p-df-h100-w100,technology
tech5,"Lawrence's Technology Services Damaged By 'Malicious Activity', Mayor Vasquez Says","Law enforcement officials are investigating ""malicious activity"" that caused damage to Lawrence's technology services. 6 hours ago ...","Lawrence's Technology Services Damaged By 'Malicious Activity', Mayor Vasquez Says Law enforcement officials are investigating ""malicious activity"" that caused damage to Lawrence's technology services. 6 hours ago ...",news.google.com/./articles/CBMieWh0dHBzOi8vYm9zdG9uLmNic2xvY2FsLmNvbS92aWRlby81NDU4MTExLWxhd3JlbmNlcy10ZWNobm9sb2d5LXNlcnZpY2VzLWRhbWFnZWQtYnktbWFsaWNpb3VzLWFjdGl2aXR5LW1heW9yLXZhc3F1ZXotc2F5cy_SAX1odHRwczovL2Jvc3Rvbi5jYnNsb2NhbC5jb20vdmlkZW8vNTQ1ODExMS1sYXdyZW5jZXMtdGVjaG5vbG9neS1zZXJ2aWNlcy1kYW1hZ2VkLWJ5LW1hbGljaW91cy1hY3Rpdml0eS1tYXlvci12YXNxdWV6LXNheXMvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,https://lh5.googleusercontent.com/proxy/tbJMBJpaj_sb39xfh1K81Zjy2SwsUqy7JM6dBJETbuP5LHwzP6FZQ_Ixfy0Tl_flDxahBzz5hA-X0jaGC0T0vLTJA_9uWFmzeG7K4CoWAdzDusD9X2awuqgIWz5Yq4HfpXClNrncFXFfkgOA8Pm8JxBtLsZuV8WUZ8AiQB6weMhh-npxJtyrJyYCZhbZcbVVBeVcO2NO211ioRApRo49QIkZNxZA2j4C3EyrR-eJAkG1-04R1QT0HUC5t8AjJdbiPlUfqfwLTg4GGOJkJw=-p-df-h100-w100,technology
tech6,How Technology and Ingenuity Has Helped Two CEOs Survive The Pandemic And Run Their Companies,"For Thomas Panek and David Cohn, navigating the pandemic as disabled people has also meant navigating life in another way: as CEOs.","How Technology and Ingenuity Has Helped Two CEOs Survive The Pandemic And Run Their Companies For Thomas Panek and David Cohn, navigating the pandemic as disabled people has also meant navigating life in another way: as CEOs.",news.google.com/./articles/CAIiECDY7Z__bGSPRmwDx-nOky8qFQgEKg0IACoGCAowrqkBMKBFMKGBAg?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/XGejrsGBEP-8O3-C76-zk2335TGRlxpdjpArcZA25X4qcUlfKbZRD3VMdZUocaA44SIx_sn6jwtitDsP9IIs=-p-df-h100-w100,technology
tech7,The powerful technology behind the Pfizer and Moderna vaccines,"Two of the three COVID-19 vaccines that have been authorized so far in the United States use synthetic messenger RNA, or mRNA, to protect against the ...","The powerful technology behind the Pfizer and Moderna vaccines Two of the three COVID-19 vaccines that have been authorized so far in the United States use synthetic messenger RNA, or mRNA, to protect against the ...",news.google.com/./articles/CAIiEJ_-DNYgJJq9D1GjP1zryvMqGQgEKhAIACoHCAow6-PzCjD7sNQCMJq_wQY?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/pHn5-qDNBzVDfRMFk8ekpaxlsLN5tyU4izSaoXRCJLi05YqyJ4qjRVnagjwDoGLLCe_ETN4HVHhmZ6Wxpg=-p-df-h100-w100,technology
tech8,15 Most Valuable Technology Companies in the World,"In this article, we are going to talk about the 15 most valuable technology companies in the world. You can skip our detailed discussion about the technology ...","15 Most Valuable Technology Companies in the World In this article, we are going to talk about the 15 most valuable technology companies in the world. You can skip our detailed discussion about the technology ...",news.google.com/./articles/CBMiU2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy8xNS1tb3N0LXZhbHVhYmxlLXRlY2hub2xvZ3ktY29tcGFuaWVzLTExMDYzMjU1My5odG1s0gFbaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvMTUtbW9zdC12YWx1YWJsZS10ZWNobm9sb2d5LWNvbXBhbmllcy0xMTA2MzI1NTMuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,https://lh4.googleusercontent.com/proxy/UPG-8Tg_y8gMDgKDxlzAn2vso1cftnfSWj9vvHRO4tdIXaLA92eQkfPMcLxCQ9GqIO-SXdh_eSVKPihE6eKHOGlO3yZhoi241733KQtTnMcxOMtp7_EaYb5B1Pbg_nRAfrsVnzKJN2rNijm-VuZmKooVxmivsSia7h_PmqRDiPruyMa9dJgCLtKLrsGVc_LnNr6oVdB5WtdohX1HnTQFNthdfJDt-35ojmWPso-Ha8sgMGc8O1N8aw_4bUmOm0ZIDK3nXacMiCq1bCTnzJhalK-LsBQ7dpsjU7wDKtn-JMhbG0xi3s46-jh_LuJ4y4dD7uAeZTKxCrQgcdYOXSRX1QPZk_jVi5kgWUD0PxMCzzzLnOhI2sT70rBJjCzJRlJ0E4bEKcYhrUG8Q97IK_nFzY4xtZW0QQg4r6G7RpCprw=-p-df-h100-w100,technology
tech9,Lawrence reports 'malicious activity' affecting multiple city technology services,"Lawrence city officials and law enforcement are working to determine the scope of damaged caused to the city's technology services by ""malicious activity,"" the ...","Lawrence reports 'malicious activity' affecting multiple city technology services Lawrence city officials and law enforcement are working to determine the scope of damaged caused to the city's technology services by ""malicious activity,"" the ...",news.google.com/./articles/CAIiEL5qqPICgrY_Fr8um1_l70YqGAgEKg8IACoHCAowr8TxCTCG6nIwhr6YBg?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/FYTRGXXSO4tRl_kEgEE7d08lSUmnIQuYWahX9QJVEtLly9uHJFYX_uJsfJozMHQtCKN6uEW_STV-D1l37p8=-p-df-h100-w100,technology
world1,How can we vaccinate the world? Five challenges facing the UN-backed COVAX programme,The aim of the UN-backed COVAX scheme is to get two billion vaccine doses into the arms of around a quarter of the population of poorer countries by the end ...,How can we vaccinate the world? Five challenges facing the UN-backed COVAX programme The aim of the UN-backed COVAX scheme is to get two billion vaccine doses into the arms of around a quarter of the population of poorer countries by the end ...,news.google.com/./articles/CBMiLGh0dHBzOi8vbmV3cy51bi5vcmcvZW4vc3RvcnkvMjAyMS8wNC8xMDg4OTMy0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/VKAoGY_2t6eUDe7uBIh2nXzlooh8VkSfRaGvKS8oNpZAmhRwCRKXRQqqyi4GIwcLByGotuzCzhh-s3ltD_76DcQwY9GtAqr84EwOA3rBbmrScSmO3rKTD6X8ZPA-7kzFuknRRY5H0dMKJEH5rznSI_xyc-saz2L3eA5DmGnt26DwGNfSfwl8X3g_7xR7sJj1HsuiBrmi_8hq6gPF1SNOnmpLnMXfAAEq6qXMV0OfHUf3ChEL__3tQk8auFtO90qHTDAfhWlNwkNP2yytYeSP91DzeJfZzA=-p-df-h100-w100,world
world2,Rock Your World rocks Santa Anita Derby field,"Rock Your World won the $750000 Santa Anita Derby by 4 1/4 lengths on Saturday over 4-5 favorite Medina Spirit, preventing Hall of Fame trainer Bob Baffert ...","Rock Your World rocks Santa Anita Derby field Rock Your World won the $750000 Santa Anita Derby by 4 1/4 lengths on Saturday over 4-5 favorite Medina Spirit, preventing Hall of Fame trainer Bob Baffert ...",news.google.com/./articles/CBMiRmh0dHBzOi8va3RsYS5jb20vc3BvcnRzL3JvY2steW91ci13b3JsZC1yb2Nrcy1zYW50YS1hbml0YS1kZXJieS1maWVsZC_SAUpodHRwczovL2t0bGEuY29tL3Nwb3J0cy9yb2NrLXlvdXItd29ybGQtcm9ja3Mtc2FudGEtYW5pdGEtZGVyYnktZmllbGQvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,https://lh5.googleusercontent.com/proxy/ZNgduIm6b3PYmnowvYfYXOjs87Abb4VQJsxOeRWdeYxRD2bwdp_iKDCI74AfkLsFCBYT9HsuADpoNjaxlgXq2WSZWBv4S6CoptJduoHhc1K8Q-1MXw7zC42BzpgyNJ2BLmUu=-p-df-h100-w100,world
world3,World Economy Risks 'Dangerously Diverging' Even as Growth Booms,"Shoppers browse fruits at a store at a wet market in Hong Kong, China, on Saturday, Sept. 5, 2020. Hong Kong's economy has been rocked by anti-government protests in 2019 and the pandemic this year. Photographer: Billy H.C. Kwok/Bloomberg","World Economy Risks 'Dangerously Diverging' Even as Growth Booms Shoppers browse fruits at a store at a wet market in Hong Kong, China, on Saturday, Sept. 5, 2020. Hong Kong's economy has been rocked by anti-government protests in 2019 and the pandemic this year. Photographer: Billy H.C. Kwok/Bloomberg",news.google.com/./articles/CAIiELMKVFTq4KnKbYkNsMKnMg8qGQgEKhAIACoHCAow4uzwCjCF3bsCMIrOrwM?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/I-aiVYDNNViRx2g_yKHYxdKZSzTzEodPSkQ1-4QejT0UaZ1rqx9KQs5ERZh0yTcL7QIz-zrKqW779udq1TQf=-p-df-h100-w100,world
world4,"Singing Hymns Through Masks, Christians Mark Pandemic Easter",VATICAN CITY (AP) — Christianity's most joyous feast day was celebrated worldwide with faithful sitting far apart in pews and singing choruses of “Hallelujah” ...,"Singing Hymns Through Masks, Christians Mark Pandemic Easter VATICAN CITY (AP) — Christianity's most joyous feast day was celebrated worldwide with faithful sitting far apart in pews and singing choruses of “Hallelujah” ...",news.google.com/./articles/CBMicWh0dHBzOi8vd3d3LnVzbmV3cy5jb20vbmV3cy93b3JsZC9hcnRpY2xlcy8yMDIxLTA0LTA0L3NpbmdpbmctaHltbnMtdGhyb3VnaC1tYXNrcy1jaHJpc3RpYW5zLW1hcmstcGFuZGVtaWMtZWFzdGVy0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh4.googleusercontent.com/proxy/paGssNkwxfk2eIUAwSISHIHDXRf9EyfcJv_FtEPeBPwfPu61E8oF-2lGi7SlhUnh-y4ABgS70BDQMDXgn-Jmo5Dv4X4M8VRw0N0gwlypY37vTcxy6z-Brk0v10mGqKEINCJUVRi_uz4KQ-Cr3YzMxmOTPNzsHI8D5bURbR5s1nAPIzwXzKHMp2dtxkcYHwFFo2p90maMBL2Cq2Zy7t5V=-p-df-h100-w100,world
world5,Ruth Chepngetich smashes world record at Istanbul Half Marathon,"Chepngetich took 29 seconds off Ababel Yeshaneh's previous best, as Kibiwott Kandie won the men's race for a Kenyan double.","Ruth Chepngetich smashes world record at Istanbul Half Marathon Chepngetich took 29 seconds off Ababel Yeshaneh's previous best, as Kibiwott Kandie won the men's race for a Kenyan double.",news.google.com/./articles/CAIiENd3cxgmYtmCCOtxacQ38dYqGQgEKhAIACoHCAowmPiUCzCNzKoDMPOB2AY?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/NEC27YZh3q2gaBWkfLQigQfq09WFhUH5NFfHvDAAd1_oATyxiT7UZubT5b57gImaVZFKKp4TAV10A_PvqTn_=-p-df-h100-w100,world
